LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
47m         Normal    Pulling             pod/currencyservice-fd8f5dfb7-cljwx          Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4"
44m         Normal    Pulling             pod/loadgenerator-7dd458dd5b-8s9hz           Pulling image "busybox:latest"
47m         Normal    Pulling             pod/shippingservice-55656785c7-b48d2         Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4"
47m         Normal    Pulling             pod/productcatalogservice-fb49fc9cc-gh6hr    Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.4"
47m         Normal    Pulling             pod/cartservice-546c548494-j4j6h             Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.4"
47m         Normal    Pulling             pod/checkoutservice-75b9cd684f-dc5tt         Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.4"
47m         Normal    Pulling             pod/frontend-694b9f76cd-7ngbj                Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4"
47m         Normal    Pulling             pod/redis-cart-6899b65948-rdm8k              Pulling image "redis:alpine"
47m         Normal    Pulling             pod/adservice-8576649cff-rvdb4               Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.4"
47m         Normal    Pulling             pod/emailservice-7466dc585-cj92q             Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.4"
47m         Normal    Pulling             pod/paymentservice-6b76dfb449-m2g8g          Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.4"
47m         Normal    Pulling             pod/recommendationservice-6f8f67d69-7cw9t    Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.4"
47m         Normal    Pulled              pod/loadgenerator-7dd458dd5b-8s9hz           Successfully pulled image "busybox:latest" in 6.075s (6.075s including waiting). Image size: 4425286 bytes.
43m         Normal    Created             pod/loadgenerator-7dd458dd5b-8s9hz           Container created
43m         Normal    Started             pod/loadgenerator-7dd458dd5b-8s9hz           Container started
46m         Normal    Pulled              pod/currencyservice-fd8f5dfb7-cljwx          Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4" in 30.676s (36.653s including waiting). Image size: 165548285 bytes.
