LAST SEEN   TYPE      REASON              OBJECT                                       MESSAGE
30m         Normal    Scheduled           pod/cartservice-546c548494-j4j6h             Successfully assigned default/cartservice-546c548494-j4j6h to minikube
30m         Normal    ScalingReplicaSet   deployment/redis-cart                        Scaled up replica set redis-cart-6899b65948 from 0 to 1
30m         Normal    Scheduled           pod/shippingservice-55656785c7-b48d2         Successfully assigned default/shippingservice-55656785c7-b48d2 to minikube
30m         Warning   FailedCreate        replicaset/shippingservice-55656785c7        Error creating: pods "shippingservice-55656785c7-" is forbidden: error looking up service account default/shippingservice: serviceaccount "shippingservice" not found
30m         Normal    SuccessfulCreate    replicaset/shippingservice-55656785c7        Created pod: shippingservice-55656785c7-b48d2
30m         Normal    Scheduled           pod/redis-cart-6899b65948-rdm8k              Successfully assigned default/redis-cart-6899b65948-rdm8k to minikube
30m         Warning   FailedCreate        replicaset/emailservice-7466dc585            Error creating: pods "emailservice-7466dc585-" is forbidden: error looking up service account default/emailservice: serviceaccount "emailservice" not found
30m         Normal    ScalingReplicaSet   deployment/paymentservice                    Scaled up replica set paymentservice-6b76dfb449 from 0 to 1
30m         Normal    SuccessfulCreate    replicaset/emailservice-7466dc585            Created pod: emailservice-7466dc585-cj92q
30m         Normal    ScalingReplicaSet   deployment/emailservice                      Scaled up replica set emailservice-7466dc585 from 0 to 1
30m         Normal    Scheduled           pod/emailservice-7466dc585-cj92q             Successfully assigned default/emailservice-7466dc585-cj92q to minikube
30m         Normal    ScalingReplicaSet   deployment/frontend                          Scaled up replica set frontend-694b9f76cd from 0 to 1
30m         Normal    Scheduled           pod/paymentservice-6b76dfb449-m2g8g          Successfully assigned default/paymentservice-6b76dfb449-m2g8g to minikube
30m         Normal    SuccessfulCreate    replicaset/paymentservice-6b76dfb449         Created pod: paymentservice-6b76dfb449-m2g8g
30m         Warning   FailedCreate        replicaset/paymentservice-6b76dfb449         Error creating: pods "paymentservice-6b76dfb449-" is forbidden: error looking up service account default/paymentservice: serviceaccount "paymentservice" not found
30m         Warning   FailedCreate        replicaset/frontend-694b9f76cd               Error creating: pods "frontend-694b9f76cd-" is forbidden: error looking up service account default/frontend: serviceaccount "frontend" not found
30m         Normal    ScalingReplicaSet   deployment/recommendationservice             Scaled up replica set recommendationservice-6f8f67d69 from 0 to 1
30m         Normal    Scheduled           pod/frontend-694b9f76cd-7ngbj                Successfully assigned default/frontend-694b9f76cd-7ngbj to minikube
30m         Normal    SuccessfulCreate    replicaset/frontend-694b9f76cd               Created pod: frontend-694b9f76cd-7ngbj
30m         Warning   FailedCreate        replicaset/recommendationservice-6f8f67d69   Error creating: pods "recommendationservice-6f8f67d69-" is forbidden: error looking up service account default/recommendationservice: serviceaccount "recommendationservice" not found
30m         Warning   FailedCreate        replicaset/adservice-8576649cff              Error creating: pods "adservice-8576649cff-" is forbidden: error looking up service account default/adservice: serviceaccount "adservice" not found
30m         Normal    SuccessfulCreate    replicaset/adservice-8576649cff              Created pod: adservice-8576649cff-rvdb4
30m         Normal    ScalingReplicaSet   deployment/adservice                         Scaled up replica set adservice-8576649cff from 0 to 1
30m         Normal    Scheduled           pod/recommendationservice-6f8f67d69-7cw9t    Successfully assigned default/recommendationservice-6f8f67d69-7cw9t to minikube
30m         Normal    SuccessfulCreate    replicaset/recommendationservice-6f8f67d69   Created pod: recommendationservice-6f8f67d69-7cw9t
30m         Normal    Scheduled           pod/adservice-8576649cff-rvdb4               Successfully assigned default/adservice-8576649cff-rvdb4 to minikube
30m         Normal    Pulling             pod/currencyservice-fd8f5dfb7-cljwx          Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4"
28m         Normal    Pulling             pod/loadgenerator-7dd458dd5b-8s9hz           Pulling image "busybox:latest"
30m         Normal    Pulling             pod/productcatalogservice-fb49fc9cc-gh6hr    Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.4"
30m         Normal    Pulling             pod/shippingservice-55656785c7-b48d2         Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4"
30m         Normal    Pulling             pod/checkoutservice-75b9cd684f-dc5tt         Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/checkoutservice:v0.10.4"
30m         Normal    Pulling             pod/cartservice-546c548494-j4j6h             Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.4"
30m         Normal    Pulling             pod/recommendationservice-6f8f67d69-7cw9t    Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/recommendationservice:v0.10.4"
30m         Normal    Pulling             pod/paymentservice-6b76dfb449-m2g8g          Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.4"
30m         Normal    Pulling             pod/frontend-694b9f76cd-7ngbj                Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.4"
30m         Normal    Pulling             pod/redis-cart-6899b65948-rdm8k              Pulling image "redis:alpine"
30m         Normal    Pulling             pod/adservice-8576649cff-rvdb4               Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/adservice:v0.10.4"
30m         Normal    Pulling             pod/emailservice-7466dc585-cj92q             Pulling image "us-central1-docker.pkg.dev/google-samples/microservices-demo/emailservice:v0.10.4"
26m         Normal    Created             pod/loadgenerator-7dd458dd5b-8s9hz           Container created
30m         Normal    Pulled              pod/loadgenerator-7dd458dd5b-8s9hz           Successfully pulled image "busybox:latest" in 6.075s (6.075s including waiting). Image size: 4425286 bytes.
26m         Normal    Started             pod/loadgenerator-7dd458dd5b-8s9hz           Container started
30m         Normal    Created             pod/currencyservice-fd8f5dfb7-cljwx          Container created
30m         Normal    Pulled              pod/currencyservice-fd8f5dfb7-cljwx          Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/currencyservice:v0.10.4" in 30.676s (36.653s including waiting). Image size: 165548285 bytes.
30m         Normal    Started             pod/currencyservice-fd8f5dfb7-cljwx          Container started
30m         Warning   Unhealthy           pod/currencyservice-fd8f5dfb7-cljwx          Readiness probe failed: timeout: failed to connect service "10.244.0.14:7000" within 1s: context deadline exceeded
29m         Normal    Pulled              pod/productcatalogservice-fb49fc9cc-gh6hr    Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.4" in 12.388s (48.64s including waiting). Image size: 35115649 bytes.
29m         Normal    Created             pod/productcatalogservice-fb49fc9cc-gh6hr    Container created
29m         Normal    Started             pod/productcatalogservice-fb49fc9cc-gh6hr    Container started
29m         Normal    Pulled              pod/shippingservice-55656785c7-b48d2         Successfully pulled image "us-central1-docker.pkg.dev/google-samples/microservices-demo/shippingservice:v0.10.4" in 9.516s (58.152s including waiting). Image size: 22488696 bytes.
29m         Normal    Started             pod/shippingservice-55656785c7-b48d2         Container started
29m         Normal    Created             pod/shippingservice-55656785c7-b48d2         Container created
